,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
working_day_45,9,11,13,22,44,52,43,91,116,80,56,57,49,43,38,40,57,58,53,61,73,57,24,17
working_day_46,12,6,19,22,29,49,48,75,81,90,69,52,50,24,17,21,21,25,23,15,16,13,9,8
working_day_47,4,2,9,34,44,48,64,105,173,164,80,48,28,15,12,12,14,30,27,22,20,62,48,57
working_day_48,49,56,71,105,88,89,89,132,203,74,58,56,37,33,17,12,9,19,18,14,17,32,40,45
non_working_day_49,64,82,94,87,108,100,113,123,147,143,100,64,36,25,16,11,7,8,8,8,12,23,16,29
non_working_day_50,27,13,15,12,15,9,5,5,12,8,9,8,6,11,14,11,11,34,34,55,82,90,89,61
working_day_51,57,81,22,30,5,16,40,140,205,105,50,43,32,32,18,18,21,21,28,23,18,13,8,5
working_day_52,7,13,45,55,43,37,52,124,197,161,151,118,51,38,41,68,82,70,56,48,66,78,72,59
working_day_53,60,56,74,100,95,84,109,183,245,202,92,47,34,31,39,29,21,28,18,22,52,60,52,62
working_day_54,61,75,115,98,84,80,121,200,283,257,185,110,92,72,59,51,74,68,51,49,61,86,129,113
working_day_55,88,150,140,137,110,97,125,219,319,314,289,222,148,81,97,45,42,34,55,97,125,227,240,274
non_working_day_56,266,206,151,134,104,89,86,104,140,166,180,118,81,59,45,29,29,37,47,74,131,156,174,184
non_working_day_57,213,218,195,123,125,116,81,73,68,59,83,77,26,12,10,3,6,6,11,24,18,18,33,23
working_day_58,34,56,100,86,67,62,69,132,79,62,38,35,31,21,14,37,128,129,132,135,161,134,138,149
working_day_59,195,78,54,94,88,90,102,183,257,280,216,76,58,46,34,28,28,27,31,33,27,44,33,31
working_day_60,60,76,71,68,68,81,102,165,268,245,181,85,104,73,47,49,74,67,58,23,17,18,15,11
working_day_61,11,36,29,24,39,35,48,72,94,71,63,60,37,21,15,20,28,51,47,23,27,23,36,32
working_day_62,21,57,57,41,48,61,95,122,117,68,71,43,24,20,29,42,28,20,21,19,31,81,70,73
non_working_day_63,43,81,140,105,102,78,77,77,111,75,17,12,8,5,6,6,5,9,10,15,18,21,21,28
non_working_day_64,82,94,99,115,108,70,79,87,87,67,16,9,10,7,8,4,5,4,4,6,5,7,13,23
working_day_65,58,60,112,58,84,83,92,125,178,147,55,36,27,14,19,24,15,13,12,11,26,39,37,25
working_day_66,9,17,31,61,71,70,99,148,172,98,40,26,31,20,19,10,16,18,15,18,24,25,14,8
working_day_67,13,20,54,79,98,95,122,198,237,84,52,36,38,35,28,22,17,22,29,13,16,16,14,12
working_day_68,33,33,29,40,72,58,87,156,191,165,132,82,49,23,28,25,20,25,20,15,17,20,29,49
non_working_day_69,34,16,17,31,26,25,27,39,48,45,35,28,21,15,19,11,7,10,10,14,25,17,27,40
non_working_day_70,32,17,33,129,105,101,105,72,41,39,57,42,30,25,25,22,23,22,19,17,25,38,29,40
non_working_day_71,34,37,23,6,8,6,9,22,35,20,17,9,5,4,3,7,4,6,7,7,8,13,12,10
working_day_72,15,27,42,10,18,23,26,71,74,76,83,113,92,104,65,78,60,85,85,98,143,137,120,92
working_day_73,101,99,26,20,14,16,59,95,132,127,72,60,47,55,38,26,28,29,25,19,28,31,32,48
working_day_74,72,108,95,113,71,69,88,112,164,144,76,33,28,19,31,31,38,44,41,74,84,77,67,62
working_day_75,61,91,115,95,92,96,127,190,267,178,173,111,98,96,83,74,83,95,67,74,90,81,76,109
non_working_day_76,115,139,157,104,95,83,94,104,142,128,119,81,30,12,10,10,6,11,8,9,12,16,12,12
non_working_day_77,19,32,18,15,13,14,8,13,7,5,4,7,8,8,7,5,2,3,7,11,12,10,9,8
working_day_78,5,6,8,6,25,35,42,73,92,97,68,51,43,18,19,30,40,36,22,20,19,20,19,14
working_day_79,8,5,5,17,23,35,30,85,157,111,81,35,25,33,47,51,53,65,72,75,81,98,121,121
working_day_80,109,111,108,93,73,75,87,146,168,142,98,55,29,25,14,18,20,27,23,22,30,42,43,60
working_day_81,82,116,115,104,92,89,113,175,259,179,56,50,43,35,31,35,34,29,26,38,41,48,44,57
working_day_82,88,118,130,113,104,103,116,189,236,255,233,89,40,28,26,22,32,60,90,82,54,81,82,96
non_working_day_83,117,131,106,118,101,89,94,101,115,113,59,51,45,10,10,5,3,3,4,5,8,14,32,58
non_working_day_84,57,82,98,105,85,69,67,63,58,54,56,45,23,15,7,12,9,6,10,17,19,19,21,34
working_day_85,37,29,75,90,74,73,100,145,204,196,77,38,23,12,15,23,24,27,51,83,72,78,85,85
working_day_86,18,14,12,13,18,20,22,101,66,25,41,43,74,60,39,26,69,71,35,62,72,104,134,118
working_day_87,102,101,117,100,97,82,90,130,135,163,127,124,80,39,20,38,51,46,32,41,42,31,35,72
working_day_88,83,95,98,87,84,92,120,181,177,135,55,39,29,19,12,13,15,25,20,15,16,18,35,49
working_day_89,54,62,65,72,60,68,83,142,155,57,31,22,19,11,14,10,13,17,18,19,19,23,22,39
non_working_day_90,16,13,12,22,12,23,31,53,91,81,89,55,50,36,25,29,28,22,20,25,22,32,38,40
non_working_day_91,52,63,45,32,37,39,38,40,30,29,24,14,9,11,16,17,13,13,22,19,20,28,29,21
working_day_92,35,27,20,24,23,60,114,154,61,40,33,26,17,16,10,11,14,14,14,11,18,21,22,19
working_day_93,41,41,41,52,47,53,76,120,112,50,34,39,46,30,24,39,39,46,61,63,72,81,83,91
working_day_94,116,105,76,61,46,72,93,112,81,27,26,19,23,13,12,11,10,12,13,25,13,9,8,7
working_day_95,12,26,57,87,70,50,66,137,156,118,109,46,38,32,22,14,15,9,16,19,25,26,16,15
working_day_96,19,49,22,21,23,67,108,161,166,71,20,12,16,19,20,11,8,13,16,21,25,22,16,15
non_working_day_97,27,37,70,69,54,70,46,45,62,48,24,18,13,13,10,9,6,6,13,14,14,25,42,47
non_working_day_98,58,58,57,33,35,32,32,38,26,29,53,41,25,16,16,9,10,8,5,5,10,18,23,54
working_day_99,48,63,53,45,23,12,23,81,95,50,24,28,27,22,28,21,14,17,10,14,20,20,15,21
working_day_100,23,18,39,48,56,59,87,151,155,117,66,35,28,16,18,19,28,21,33,52,68,70,75,85
working_day_101,79,81,60,45,53,52,78,144,160,86,90,60,43,39,46,60,50,50,71,71,58,52,48,93
working_day_102,105,63,50,84,92,83,63,174,110,70,25,23,38,29,45,31,17,13,14,7,15,44,46,54
non_working_day_103,119,104,108,94,77,74,77,94,98,99,102,63,56,56,57,43,38,53,58,78,68,76,77,104
non_working_day_104,87,76,78,121,114,105,101,90,98,94,63,26,27,38,40,42,34,39,59,49,64,63,83,122
working_day_105,150,148,129,111,97,74,106,159,245,219,133,86,79,71,54,40,48,36,48,95,74,64,44,53
working_day_106,56,43,61,47,39,42,54,112,91,40,31,25,22,17,13,14,15,13,11,15,42,42,40,86
working_day_107,45,48,54,62,45,53,82,117,135,134,109,87,62,31,29,24,19,33,58,73,70,83,82,78
working_day_108,31,31,27,56,26,21,76,154,184,149,126,118,119,27,25,19,14,22,18,23,39,53,65,58
non_working_day_109,62,39,31,46,64,46,57,61,58,57,52,56,35,28,31,39,49,31,41,52,42,41,28,36
non_working_day_110,57,47,57,48,87,70,82,61,69,29,15,7,5,5,3,3,2,3,3,2,5,6,8,8
non_working_day_111,9,20,46,56,42,33,54,40,37,37,10,3,6,3,3,2,3,3,6,5,3,8,4,3
working_day_112,5,4,8,34,30,40,73,125,133,82,72,52,22,15,14,8,13,19,25,35,18,21,13,13
working_day_113,60,66,21,30,53,55,54,59,51,36,70,56,43,78,74,45,62,62,70,32,28,33,33,48
working_day_114,83,94,113,97,56,50,73,114,146,67,52,65,53,52,51,58,52,83,37,28,31,26,29,26
